PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,Toluene,AQI,year,month,day,weekday,dayofyear,Date,City
22.75,86.77,3.85,38.23,22.6,9.24,0.67,10.7,8.49,81.0,2020.0,6.0,13.0,5.0,165.0,2020-06-13,Visakhapatnam
39.47,77.48,5.67,20.61,17.46,34.32,0.91,11.08,18.47,104.0,2020.0,6.0,22.0,0.0,174.0,2020-06-22,Delhi
68.26,96.6,1.75,12.11,7.84,6.18,0.92,4.95,1.8208779882157842,121.0,2018.0,1.0,30.0,1.0,30.0,2018-01-30,Thiruvananthapuram
30.86,53.32,11.87,12.28,24.14,3.83,0.0,9.64002398075911,2.05,71.0,2019.0,2.0,8.0,4.0,39.0,2019-02-08,Amritsar
58.86,220.16,27.03,6.68,33.71,7.68,1.02,28.31,9.92155476012124,213.0,2019.0,3.0,31.0,6.0,90.0,2019-03-31,Talcher
40.777075556226535,87.2035006365868,10.70329455027991,21.16532901584617,22.17643386481609,18.97727252195864,0.8159955136762262,9.664767772912114,4.3177017139242935,98.0,2018.0,6.0,9.0,5.0,160.0,2018-06-09,Jorapokhar
36.5,79.0,5.25,32.41,21.14,13.47,0.45,5.74,15.38,72.0,2018.0,10.0,3.0,2.0,276.0,2018-10-03,Hyderabad
53.62,185.45,20.64,46.41,41.46,19.78,1.03,10.75,9.999850571974548,148.0,2019.0,10.0,16.0,2.0,289.0,2019-10-16,Bhopal
51.15,106.4,10.81,50.57,54.25,28.59,0.67,6.62,4.41,111.0,2018.0,3.0,3.0,5.0,62.0,2018-03-03,Jaipur
62.36028915535816,129.5872176061771,14.287794890954038,26.786908351044758,28.70643303614952,22.61537744803286,1.0844624408153394,11.790807465470493,5.778965465802003,158.52317398584,2018.0,4.0,12.0,3.0,102.0,2018-04-12,Talcher
60.48,103.34,4.17,64.8,68.85,25.75,0.63,15.86,11.24,122.0,2019.0,3.0,19.0,1.0,78.0,2019-03-19,Kolkata
12.58,32.59,4.27,22.18,14.61,17.89,0.31,9.52,3.02,37.0,2018.0,7.0,20.0,4.0,201.0,2018-07-20,Hyderabad
70.37,145.27,41.43,48.02,19.04,23.84,0.0,7.95,6.06,147.0,2017.0,12.0,24.0,6.0,358.0,2017-12-24,Jaipur
38.9,92.05,13.21,33.4,31.09,25.61,1.65,29.545,0.0,94.0,2018.0,5.0,2.0,2.0,122.0,2018-05-02,Talcher
52.95,124.14,15.29,50.72,55.27,49.35,0.91,11.88,18.74,129.0,2019.0,12.0,21.0,5.0,355.0,2019-12-21,Jaipur
1.76,19.23,8.52,31.43,21.32,20.597040406923952,0.65,3.23,0.0,53.0,2017.0,12.0,1.0,4.0,335.0,2017-12-01,Bengaluru
31.22,57.33,3.69,16.9,11.99,14.42,0.63,14.64,1.44,62.0,2020.0,1.0,20.0,0.0,20.0,2020-01-20,Amaravati
51.46,95.50584464404437,4.63,12.75,10.18,22.86370361663353,0.01,3.32,0.03,88.0,2017.0,2.0,21.0,1.0,52.0,2017-02-21,Chennai
70.62,192.27,41.43,76.42499999999998,49.07,58.96,0.37,24.03,3.35,204.0,2017.0,4.0,3.0,0.0,93.0,2017-04-03,Delhi
